DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5477	P5477S1	P5478	P5478S1	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
367368960	235	1	3	7	3	2	1	2	3	2		2		2		2		2	2	2	2	2	2	1	2	2	2		2		2		2		2		1	1	2		2		1	2	1370.70020273657
367351440	235	1	3	6	3	2	2	1	1	2		2		2		2		1	2	2	1	2	2	1	2	2	2		2		2		2		2		1	1	1	3	2		1	3	493.743274702029
367351440	235	1	4	6	5	1	1	3	2	1	3	2		1	3	1	3	2	2	2	1	2	2	1	1	2	1	2	2		2		2		2		1	1	2		1	2	2		493.743274702029
367351440	235	1	5	6	5	2	1	3	0	1	4	2		2		1	3	1	2	2	1	2	2	1	1	2	2		2		2		2		2		1	1	1	4	1	2	1	2	493.743274702029
367351440	235	1	6	6	5	1	1	3	1	2		2		1	4	1	4	1	2	2	1	2	2	1	1	2	1	2	2		2		2		2		1	1	2		1	2	2		493.743274702029
367394040	235	1	2	7	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	2	2	1	1	3	1	2	2		1	2	1	2	1	2	2		2		1	2	240.032107549377
367394040	235	1	3	7	3	1	1	3	3	2		2		2		1	5	2	2	2	2	2	2	2	2	2	2		1	3	1	3	1	2	1	3	1	1	1	2	2		2		240.032107549377
367293600	235	1	3	7	3	1	1	3	3	1	5	2		2		2		2	2	2	2	2	2	2	2	1	1	2	2		2		1	5	1	2	1	1	1	3	1	2	1	1	1810.78284811992
367351920	235	1	5	6	3	1	1	3	4	1	1	1	5	1	5	1	3	2	1	2	1	2	2	1	1	1	1	3	1	3	1	3	1	3	1	3	1	1	1	4	1	1	1	2	751.962612152187
367021680	235	1	3	6	3	1	1	3	1	2		2		1	5	1	3	2	2	2	1	2	2	1	2	2	2		2		2		2		1	2	1	1	1	1	2		1	1	144.888057623772
