DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
366410160	235	1	2	1	29	6	3	6	1	2	6	4	1544.57120126166
366505680	235	1	1	1	51	7	1	4	1	2	5	2	1748.91547933392
366527280	235	1	1	2	50	7	1	2	2	2	1	1	1219.7747641524
366527280	235	1	2	2	22	6	3	2	1	2	5	2	1219.7747641524
366527280	235	1	3	1	0								1219.7747641524
366527280	235	1	4	2	18	6	3	6	1	1	5	1	1219.7747641524
366527280	235	1	5	2	17	6	3	6	1	1	5	1	1219.7747641524
366527280	235	1	7	1	13	6	3	6	1	1	3	4	1219.7747641524
366527280	235	1	8	1	5								1219.7747641524
366527280	235	1	9	2	7								1219.7747641524
366527280	235	1	10	2	16	6	5	6	1	1	4	2	1219.7747641524
366517200	235	1	1	1	40	7	1	3	1	2	4	4	3746.31630874128
366517200	235	1	2	2	36	7	2	2	1	2	4	4	3746.31630874128
366517200	235	1	3	1	15	6	3	6	1	1	4	4	3746.31630874128
366378600	235	1	1	1	44	6	1	2	1	2	4	3	1600.48021785273
366378600	235	1	2	2	44	6	2	2	1	2	7	2	1600.48021785273
366378600	235	1	3	2	15	6	3	6	1	1	4	4	1600.48021785273
366600120	235	1	1	1	47	6	1	2	1	2	6	5	632.170701189812
366600120	235	1	2	2	46	6	2	2	1	2	7	6	632.170701189812
366600120	235	1	3	1	17	6	3	6	1	1	6	0	632.170701189812
366485760	235	1	1	1	71	6	1	6	2	2	1	1	786.06030771121
366422040	235	1	1	1	25	6	1	3	1	2	5	2	1696.94983816841
366422040	235	1	2	2	23	6	2	3	1	1	5	2	1696.94983816841
366422040	235	1	3	1	4								1696.94983816841
366442320	235	1	1	1	57	5	1	3	1	2	3	5	1207.1654498054
366442320	235	1	2	2	61	6	2	3	1	2	4	4	1207.1654498054
366475680	235	1	1	1	31	6	1	2	1	2	6	2	2504.53949921816
366475680	235	1	2	2	29	6	2	2	1	2	5	2	2504.53949921816
366475680	235	1	3	1	2								2504.53949921816
366486480	235	1	1	2	50	7	1	4	1	2	4	3	812.26263938234
366467400	235	1	1	1	58	7	1	2	1	2	5	2	704.911537961341
366467400	235	1	2	2	36	7	2	2	1	2	6	2	704.911537961341
